libsysprof-capture 49.0-1
libtasn1 4.21.0-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtool 2.6.0-3
libunistring 1.3-1
libunwind 1.8.2-1
liburing 2.13-1
libusb 1.0.29-1
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.51.0-1
libva 2.22.0-1
libva-intel-driver 2.4.1-5
libvdpau 1.5-3
libverto 0.3.2-5
libvorbis 1.3.7-4
libvterm 0.3.3-2
libwacom 2.17.0-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libx11 1.8.12-2
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.1.3-1
libxml2 2.15.1-5
libxmu 1.2.1-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
licenses 20240728-1
lilv 0.26.2-3
linux 6.18.6.arch1-1
linux-api-headers 6.18-1
linux-firmware 20260110-1
linux-firmware-amdgpu 20260110-1
linux-firmware-atheros 20260110-1
linux-firmware-broadcom 20260110-1
linux-firmware-cirrus 20260110-1
linux-firmware-intel 20260110-1
linux-firmware-mediatek 20260110-1
linux-firmware-nvidia 20260110-1
linux-firmware-other 20260110-1
linux-firmware-radeon 20260110-1
linux-firmware-realtek 20260110-1
linux-firmware-whence 20260110-1
lld 21.1.6-1
llhttp 9.2.1-2
llvm-libs 21.1.6-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lsb-release 2.0.r55.a25a4fc-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1767980792+707c12b-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mesa 1:25.3.3-3
minizip 1:1.3.1-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mods 1.8.1-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
ncurses 6.5-4
neovim 0.11.5-1
nettle 3.10.2-1
nftables 1:1.1.6-2
nodejs-lts-jod 22.22.0-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.120-1
numactl 2.0.19-1
oniguruma 6.9.10-1
opencode-bin 1.1.34-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.6.1-1
orc 0.4.41-1
otf-firamono-nerd 3.4.0-1
p11-kit 0.26.1-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260105-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pass 1.7.4-7
patch 2.8-1
pciutils 3.14.0-1
pcre2 10.47-1
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.33-9
pinentry 1.3.2-2
pipewire 1:1.4.10-1
pipewire-audio 1:1.4.10-1
pipewire-session-manager 1:1.4.10-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 127-3
popt 1.19-2
postgresql 18.1-2
postgresql-libs 18.1-2
procps-ng 4.0.5-3
psmisc 23.7-1
python 3.14.2-2
python-legacy-cgi 2.6.4-2
readline 8.3.003-1
redshift 1.12-15
reflector 2023-5
ripgrep 15.1.0-1
rsync 3.4.1-2
runc 1.4.0-1
rustdesk-bin 1.4.5-1
sbc 2.1-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shadow 4.18.0-1
shared-mime-info 2.4-2
sord 0.16.20-1
spirv-tools 1:1.4.335.0-1
sqlite 3.51.2-1
sratom 0.6.20-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
systemd 259-2
systemd-libs 259-2
systemd-sysvcompat 259-2
tar 1.35-2
texinfo 7.2-1
tinysparql 3.10.1-2
tmux 3.6_a-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.10-3
tree-sitter-lua 0.4.0-1
